participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.choice_1,player.choice_2,player.choice_3,player.choice_4,player.choice_5,player.choice_6,player.choice_7,player.choice_8,player.choice_9,player.choice_10,player.random_draw,player.choice_to_pay,player.option_to_pay,player.inconsistent,player.switching_row,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dsvqrgmb,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-03 11:36:44.479260+00:00,1,,,96,1,A,A,A,A,B,B,B,B,B,B,4,choice_6,B,0,5,10,1,1,w5z49a3s,,,,,,0
2,n6upjgjy,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-03 11:36:58.915432+00:00,1,,,161,2,A,A,A,A,A,B,B,B,B,B,7,choice_6,B,0,6,1,1,1,w5z49a3s,,,,,,0
3,1f4x740q,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-03 11:37:09.759261+00:00,1,,,81,3,B,B,B,B,B,B,B,B,B,B,8,choice_5,B,0,1,1,1,1,w5z49a3s,,,,,,0
4,mknijabm,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-03 11:37:20.352895+00:00,1,,,85,4,A,A,A,A,A,A,A,B,B,B,6,choice_7,A,0,8,6,1,1,w5z49a3s,,,,,,0
5,yk1d1sbr,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-03 11:37:39.311969+00:00,1,,,96,5,A,A,A,A,A,A,B,B,B,B,5,choice_10,B,0,7,10,1,1,w5z49a3s,,,,,,0
6,7ot2i0xg,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-03 11:37:50.710989+00:00,1,,,112,6,A,A,A,A,A,B,B,B,B,B,4,choice_8,B,0,6,10,1,1,w5z49a3s,,,,,,0
7,g22usw6w,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-03 11:38:03.103704+00:00,1,,,174,7,A,A,A,A,A,A,B,B,B,B,3,choice_10,B,0,7,10,1,1,w5z49a3s,,,,,,0
8,bc0ffwy9,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-03 11:38:15.978716+00:00,1,,,91,8,A,A,A,A,A,A,B,B,B,B,6,choice_1,A,0,7,5,1,1,w5z49a3s,,,,,,0
9,oofkb8xf,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-03 11:38:37.079306+00:00,1,,,86,9,A,A,A,A,A,A,A,A,A,B,7,choice_6,A,0,10,5,1,1,w5z49a3s,,,,,,0
10,vhegxpzc,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-03 11:38:48.940944+00:00,1,,,174,10,A,A,A,A,A,B,B,B,B,B,6,choice_9,B,0,6,10,1,1,w5z49a3s,,,,,,0
11,kwosddsn,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-03 11:39:03.858924+00:00,1,,,92,11,A,A,A,A,A,A,A,A,B,B,6,choice_8,A,0,9,6,1,1,w5z49a3s,,,,,,0
12,vif496ce,,0,452,452,finalpage,1,MyPage,147.156.150.23,2018-12-03 11:39:16.157613+00:00,1,,,94,12,A,A,A,A,A,A,B,B,B,B,1,choice_7,B,0,7,10,1,1,w5z49a3s,,,,,,0
13,vxc3rg5t,,0,452,452,finalpage,1,MyPage,147.156.150.26,2018-12-03 11:39:36.242471+00:00,1,,,88,13,A,A,A,A,A,A,A,A,B,B,3,choice_3,A,0,9,6,1,1,w5z49a3s,,,,,,0
14,2yvyyp74,,0,452,452,finalpage,1,MyPage,147.156.150.37,2018-12-03 11:39:50.951146+00:00,1,,,56,14,A,A,A,B,B,B,B,B,B,B,8,choice_10,B,0,4,10,1,1,w5z49a3s,,,,,,0
15,cm36ru2x,,0,452,452,finalpage,1,MyPage,147.156.150.27,2018-12-03 11:40:04.211750+00:00,1,,,170,15,A,A,A,B,B,B,B,B,B,B,4,choice_9,B,0,4,10,1,1,w5z49a3s,,,,,,0
16,erkd1z3z,,0,452,452,finalpage,1,MyPage,147.156.150.38,2018-12-03 11:40:16.415324+00:00,1,,,81,16,A,A,A,A,A,B,B,B,B,B,5,choice_5,A,0,6,6,1,1,w5z49a3s,,,,,,0
1,7xvh3i77,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-04 11:02:38.073710+00:00,1,,,176,1,A,A,A,A,A,B,B,B,B,B,2,choice_9,B,0,6,10,1,1,exu1pnh8,,,,,,0
2,54eyhpi6,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-04 11:02:56.694589+00:00,1,,,89,2,A,A,A,A,A,A,B,B,B,B,7,choice_1,A,0,7,5,1,1,exu1pnh8,,,,,,0
3,u2z6qb5q,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-04 11:03:19.175903+00:00,1,,,107,3,A,A,A,A,B,B,B,B,B,B,8,choice_4,A,0,5,5,1,1,exu1pnh8,,,,,,0
4,ud57z8wd,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-04 11:03:35.218431+00:00,1,,,80,4,A,A,A,A,A,A,B,B,B,B,9,choice_8,B,0,7,1,1,1,exu1pnh8,,,,,,0
5,uk775575,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-04 11:03:57.442815+00:00,1,,,112,5,A,A,A,A,A,A,B,B,B,B,3,choice_6,A,0,7,6,1,1,exu1pnh8,,,,,,0
6,b4vv7feu,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-04 11:04:19.069381+00:00,1,,,88,6,A,A,A,A,A,A,B,B,B,B,2,choice_4,A,0,7,6,1,1,exu1pnh8,,,,,,0
7,ujmv7n89,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-04 11:05:11.990710+00:00,1,,,85,7,A,A,A,A,A,A,B,B,B,B,3,choice_10,B,0,7,10,1,1,exu1pnh8,,,,,,0
8,vg2jgrqj,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-04 11:05:26.473771+00:00,1,,,83,8,A,A,A,A,A,A,B,B,B,B,9,choice_8,B,0,7,1,1,1,exu1pnh8,,,,,,0
9,f4cv98zj,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-04 11:05:51.776415+00:00,1,,,30,9,A,A,A,A,A,B,B,B,B,B,9,choice_5,A,0,6,5,1,1,exu1pnh8,,,,,,0
10,dx5xc6y0,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-04 11:06:04.789837+00:00,1,,,170,10,A,A,A,A,A,A,B,B,B,B,6,choice_6,A,0,7,6,1,1,exu1pnh8,,,,,,0
11,amk3teoy,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-04 11:06:16.155627+00:00,1,,,48,11,A,A,A,A,A,A,A,A,A,B,5,choice_9,A,0,10,6,1,1,exu1pnh8,,,,,,0
12,6ua5fq5a,,0,452,452,finalpage,1,MyPage,147.156.150.23,2018-12-04 11:06:26.716888+00:00,1,,,81,12,A,A,A,A,B,B,B,B,B,B,9,choice_8,B,0,5,1,1,1,exu1pnh8,,,,,,0
13,1mawzjlg,,0,452,452,finalpage,1,MyPage,147.156.150.26,2018-12-04 11:06:48.289996+00:00,1,,,85,13,A,A,A,A,A,B,B,B,B,B,2,choice_8,B,0,6,10,1,1,exu1pnh8,,,,,,0
14,87v6sd9l,,0,452,452,finalpage,1,MyPage,147.156.150.37,2018-12-04 11:07:00.119369+00:00,1,,,90,14,A,A,A,A,A,B,B,B,B,B,9,choice_10,B,0,6,10,1,1,exu1pnh8,,,,,,0
15,kdt0hlw5,,0,452,452,finalpage,1,MyPage,147.156.150.27,2018-12-04 11:07:11.777481+00:00,1,,,166,15,A,A,A,A,A,A,A,B,B,B,2,choice_3,A,0,8,6,1,1,exu1pnh8,,,,,,0
16,n5no54on,,0,452,452,finalpage,1,MyPage,147.156.150.38,2018-12-04 11:07:24.053529+00:00,1,,,85,16,A,A,A,A,A,B,B,B,B,B,9,choice_8,B,0,6,1,1,1,exu1pnh8,,,,,,0
1,3habl47g,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-05 09:05:15.922077+00:00,1,,,35,1,A,A,A,A,A,A,A,A,A,A,1,choice_9,A,0,11,6,1,1,me9k3x16,,,,,,0
2,ad34kzt2,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-05 09:05:28.457252+00:00,1,,,87,2,A,A,A,A,A,B,B,B,B,B,3,choice_4,A,0,6,6,1,1,me9k3x16,,,,,,0
3,c2bz271v,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-05 09:05:43.790537+00:00,1,,,116,3,A,A,A,A,A,A,A,B,B,B,7,choice_8,B,0,8,10,1,1,me9k3x16,,,,,,0
4,id52a14i,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-05 09:05:55.293600+00:00,1,,,94,4,A,A,A,A,B,B,B,B,B,B,6,choice_8,B,0,5,10,1,1,me9k3x16,,,,,,0
5,p4h3b5y4,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-05 09:06:15.528450+00:00,1,,,92,5,A,A,A,A,B,B,B,B,B,B,2,choice_2,A,0,5,6,1,1,me9k3x16,,,,,,0
6,benqaqxi,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-05 09:06:27.753992+00:00,1,,,85,6,A,A,A,A,A,A,B,B,B,B,9,choice_9,B,0,7,10,1,1,me9k3x16,,,,,,0
7,2bp4fbbc,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-05 09:06:38.101396+00:00,1,,,85,7,A,A,A,A,A,A,B,B,B,B,8,choice_3,A,0,7,5,1,1,me9k3x16,,,,,,0
8,wo17hoxv,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-05 09:06:52.369784+00:00,1,,,94,8,A,A,A,A,A,A,B,B,B,B,7,choice_9,B,0,7,10,1,1,me9k3x16,,,,,,0
9,klluvmtf,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-05 09:07:12.699711+00:00,1,,,92,9,A,A,A,A,A,A,B,B,B,B,3,choice_3,A,0,7,6,1,1,me9k3x16,,,,,,0
10,jgm27qzn,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-05 09:07:25.036786+00:00,1,,,96,10,A,B,B,B,B,B,B,B,B,B,6,choice_10,B,0,2,10,1,1,me9k3x16,,,,,,0
11,ovc5ujx2,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-05 09:07:36.731270+00:00,1,,,92,11,A,A,A,B,B,B,B,B,B,B,2,choice_7,B,0,4,10,1,1,me9k3x16,,,,,,0
12,4hbsodum,,0,452,452,finalpage,1,MyPage,147.156.150.23,2018-12-05 09:07:51.533538+00:00,1,,,85,12,A,A,A,A,A,B,B,B,B,B,3,choice_6,B,0,6,10,1,1,me9k3x16,,,,,,0
13,3fdb8fqp,,0,452,452,finalpage,1,MyPage,147.156.150.26,2018-12-05 09:08:09.157303+00:00,1,,,170,13,A,A,A,A,B,B,B,B,B,B,3,choice_9,B,0,5,10,1,1,me9k3x16,,,,,,0
14,v73vv43x,,0,452,452,finalpage,1,MyPage,147.156.150.37,2018-12-05 09:08:20.459176+00:00,1,,,80,14,A,A,A,A,A,A,A,B,B,B,4,choice_1,A,0,8,5,1,1,me9k3x16,,,,,,0
15,2r5afmjk,,0,452,452,finalpage,1,MyPage,147.156.150.27,2018-12-05 09:08:32.924154+00:00,1,,,112,15,A,A,A,A,A,B,B,B,B,B,7,choice_8,B,0,6,10,1,1,me9k3x16,,,,,,0
16,6fs9ofag,,0,452,452,finalpage,1,MyPage,147.156.150.38,2018-12-05 09:08:45.742920+00:00,1,,,80,16,A,A,A,A,B,B,B,B,B,B,6,choice_4,A,0,5,5,1,1,me9k3x16,,,,,,0
